DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
150,147.67,150,0,0,0,0,0,0,0
151,148.67,151,0,0,0,0,0,0,0
152,149.67,152,0,0,0,0,0,0,0
153,150.67,153,0,0,0,0,0,0,0
154,151.67,154,0,0,0,0,0,0,0
155,152.67,155,0,0,0,0,0,0,0
156,153.67,156,0,0,0,0,0,0,0
157,154.67,157,0,0,0,0,0,0,0
158,154.69,158,0,0,0,0,0,0,0
159,155.69,159,0,0,0,0,0,0,0
160,156.69,160,0,0,0,0,0,0,0
161,157.69,161,0,0,0,0,0,0,0
162,158.69,162,0,0,0,0,0,0,0
163,159.69,163,0,0,0,0,0,0,0
164,160.69,164,0,0,0,0,0,0,0
165,161.69,165,0,0,0,0,0,0,0
166,162.69,166,0,0,0,0,0,0,0
167,163.29,167,0,0,0,0,0,0,0
168,164.29,168,0,0,0,0,0,0,0
169,165.29,169,0,0,0,0,0,0,0
170,166.29,170,0,0,0,0,0,0,0
171,167.29,171,0,0,0,0,0,0,0
172,168.29,172,0,0,0,0,0,0,0
173,169.29,173,0,0,0,0,0,0,0
